MSSubClass,MSZoning,LotFrontage,,MSSubClass,MSZoning,LotFrontage
60,RL,65,,60,RL,65
20,RL,80,,20,RL,80
60,RL,68,,60,RL,68
70,RL,60,,70,RL,60
60,RL,84,,60,RL,84
50,RL,85,,50,RL,85
20,RL,75,,20,RL,75
60,RL,81.62135922,,60,RL,NA
50,RM,51,,50,RM,51
190,RL,50,,190,RL,50
20,RL,70,,20,RL,70
60,RL,85,,60,RL,85
20,RL,78.06569343,,20,RL,NA
20,RL,91,,20,RL,91
20,RL,78.06569343,,20,RL,NA
45,RM,51,,45,RM,51
20,RL,78.06569343,,20,RL,NA
90,RL,72,,90,RL,72
20,RL,66,,20,RL,66
20,RL,70,,20,RL,70
60,RL,101,,60,RL,101
45,RM,57,,45,RM,57
20,RL,75,,20,RL,75
120,RM,44,,120,RM,44
20,RL,78.06569343,,20,RL,NA
20,RL,110,,20,RL,110
20,RL,60,,20,RL,60
20,RL,98,,20,RL,98
20,RL,47,,20,RL,47
30,RM,60,,30,RM,60
70,C (all),50,,70,C (all),50
20,RL,78.06569343,,20,RL,NA
20,RL,85,,20,RL,85
20,RL,70,,20,RL,70
120,RL,60,,120,RL,60
60,RL,108,,60,RL,108
20,RL,112,,20,RL,112
20,RL,74,,20,RL,74
20,RL,68,,20,RL,68
90,RL,65,,90,RL,65
20,RL,84,,20,RL,84
20,RL,115,,20,RL,115
85,RL,71.57142857,,85,RL,NA
20,RL,78.06569343,,20,RL,NA
20,RL,70,,20,RL,70
120,RL,61,,120,RL,61
50,RL,48,,50,RL,48
20,FV,84,,20,FV,84
190,RM,33,,190,RM,33
20,RL,66,,20,RL,66
60,RL,81.62135922,,60,RL,NA
50,RM,52,,50,RM,52
90,RM,110,,90,RM,110
20,RL,68,,20,RL,68
80,RL,60,,80,RL,60
20,RL,100,,20,RL,100
160,FV,24,,160,FV,24
60,RL,89,,60,RL,89
60,RL,66,,60,RL,66
20,RL,60,,20,RL,60
20,RL,63,,20,RL,63
75,RM,60,,75,RM,60
120,RL,44,,120,RL,44
70,RM,50,,70,RM,50
